date,Model,CSPE
2012-09-01,Median,0.001771582726497267
2012-09-01,Trimmed mean,0.01144643575734314
2012-09-01,DMSPE(1),0.02188504395980888
2012-09-01,DMSPE(0.9),0.02331174921905426
2012-10-01,Elastic Net,0.10485685088000953
2012-10-01,Lasso,0.1064985710282445
2012-10-01,Ridge,0.06936680933419129
2012-10-01,PC,0.04809151944713451
2012-10-01,PLS,0.03807795391235586
2012-10-01,Mean,0.019553445444151774
2012-10-01,Median,0.002105877797747191
2012-10-01,Trimmed mean,0.011959279623540722
2012-10-01,DMSPE(1),0.022440700568347113
2012-10-01,DMSPE(0.9),0.023849028457471392
2012-11-01,Elastic Net,0.10492425804435686
2012-11-01,Lasso,0.106567011561974
2012-11-01,Ridge,0.06943519766130817
2012-11-01,PC,0.048158672442223785
2012-11-01,PLS,0.03708531146042907
2012-11-01,Mean,0.0194704129689005
2012-11-01,Median,0.002036047050329702
2012-11-01,Trimmed mean,0.011881323918660973
2012-11-01,DMSPE(1),0.022354300644146917
2012-11-01,DMSPE(0.9),0.023760065026806023
2012-12-01,Elastic Net,0.10754902181336355
2012-12-01,Lasso,0.10921008888062105
2012-12-01,Ridge,0.0723024581612182
2012-12-01,PC,0.05181772256967689
2012-12-01,PLS,0.037601597949224186
2012-12-01,Mean,0.019556418924295306
2012-12-01,Median,0.0021856306562467605
2012-12-01,Trimmed mean,0.011967112325529711
2012-12-01,DMSPE(1),0.02247868821982611
2012-12-01,DMSPE(0.9),0.02385768676148021
2013-01-01,Elastic Net,0.10658464593801811
2013-01-01,Lasso,0.10823171440640297
2013-01-01,Ridge,0.07184180132594045
2013-01-01,PC,0.05079509253812589
2013-01-01,PLS,0.037157327444669305
2013-01-01,Mean,0.01951770835015873
2013-01-01,Median,0.002165902250291743
2013-01-01,Trimmed mean,0.011929802207225903
2013-01-01,DMSPE(1),0.022431574435870915
2013-01-01,DMSPE(0.9),0.023816184012386714
2013-02-01,Elastic Net,0.10674247706722924
2013-02-01,Lasso,0.10847231177829082
2013-02-01,Ridge,0.07175954288623115
2013-02-01,PC,0.051343059914980935
2013-02-01,PLS,0.03689377579538895
2013-02-01,Mean,0.019479450410621452
2013-02-01,Median,0.002136089371468524
2013-02-01,Trimmed mean,0.011852784130323707
2013-02-01,DMSPE(1),0.022391007349225382
2013-02-01,DMSPE(0.9),0.02378551217842851
2013-03-01,Elastic Net,0.10657290655439594
2013-03-01,Lasso,0.10804017767724752
2013-03-01,Ridge,0.07128697074428343
2013-03-01,PC,0.05128828339679879
2013-03-01,PLS,0.03579643668096399
2013-03-01,Mean,0.01937081019790409
2013-03-01,Median,0.00202226698311616
2013-03-01,Trimmed mean,0.011718725866170019
2013-03-01,DMSPE(1),0.022281999425222097
2013-03-01,DMSPE(0.9),0.023680923007483982
2013-04-01,Elastic Net,0.10642616950149456
2013-04-01,Lasso,0.1078133879188462
2013-04-01,Ridge,0.07125048165530733
2013-04-01,PC,0.0497324280944603
2013-04-01,PLS,0.035881757568558076
2013-04-01,Mean,0.019384464481308483
2013-04-01,Median,0.0020896833689593945
2013-04-01,Trimmed mean,0.011754668611779085
2013-04-01,DMSPE(1),0.022292127910210548
2013-04-01,DMSPE(0.9),0.02369508910352669
2013-05-01,Elastic Net,0.10576182748540101
2013-05-01,Lasso,0.10766997610523789
2013-05-01,Ridge,0.07061594611799657
2013-05-01,PC,0.046621182134240116
2013-05-01,PLS,0.03486669714188325
2013-05-01,Mean,0.01933511841555895
2013-05-01,Median,0.0020834783469809355
2013-05-01,Trimmed mean,0.011714703975717342
2013-05-01,DMSPE(1),0.022235692968787617
2013-05-01,DMSPE(0.9),0.023645969567459242
2013-06-01,Elastic Net,0.10778207628985241
2013-06-01,Lasso,0.10971298461368195
2013-06-01,Ridge,0.07157863649139747
