date,r,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12,OBV_1_9,OBV_1_12,OBV_2_9,OBV_2_12,OBV_3_9,OBV_3_12
2004-03-01,-0.00132999065241135,0.94,3.83,0.00214477294013359,0.00198457051490567,99.4573,126.36387,-0.00233037660360402,0.04573029168163067,-0.00321474773215868,0.0065061398472892,-0.00234576854264823,-0.10000000000000052,0.46,75.5466,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2004-04-01,0.08745698484455833,0.94,4.35,0.00214018273236771,0.00123669337562638,96.78947,120.28552,0.00804365763273651,0.04482039161669249,0.07950591019432984,0.00587963940462898,0.00800959337669837,0.20000000000000015,0.54,75.5405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004-05-01,-0.06119229326637798,1.02,4.72,0.00160213652427732,9.77015397714484e-4,94.11529,106.92542,-0.01019960528780572,0.01981924464492834,0.00267287195709009,0.00663604662372563,-0.01007129374795656,-0.20000000000000015,0.08,75.789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004-06-01,0.06875824204919301,1.27,4.73,0.0042598573469581,7.680095355561219e-4,92.32118,84.485827,-7.196833703932981e-4,0.00397494468829506,0.03277387703865742,0.01231317562551659,-7.864488704187877e-4,0,0.56,76.3573,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2004-07-01,0.0957173486485332,1.33,4.5,0.00371254735618453,7.812381057860591e-4,85.34598,62.839552,-0.02718401449222973,0.00110609132755001,0.0077198381960386,3.5049707215684123e-4,-0.02718330814312963,0,-0.28,75.786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004-08-01,0.01973217295469398,1.48,4.28,0.00105820115694754,0.00144587395896245,87.54419,89.280368,0.01414035130020074,-0.03478254543924386,-0.02256348423045473,0.00210040653240284,0.01416373928975645,-0.09999999999999964,0.47,76.4606,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
2004-09-01,0.14296995613282304,1.65,4.13,5.286809533657788e-4,7.069195775389195e-4,85.92587,99.242818,-0.02942205010457854,-0.05508592387571554,0.01560875701282782,0.00423511010602517,-0.02948679559013989,-0.09999999999999964,0.3,76.7794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004-10-01,-0.09932186741226225,1.76,4.1,0.00316622955805012,0.00122583417992394,100.01189,98.41948,-0.04690461898389486,-0.02064268949969872,-0.0757418993143677,0.00543016330362,-0.04680390872271323,0,0.17,76.8286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004-11-01,-0.11626263232784728,2.07,4.19,0.00525487283835879,8.513649161375767e-4,105.69511,107.23811,0.01736459590874339,0.04902548309962284,0.06632870907018606,0.00433553930770536,0.0172688549093416,0.09999999999999964,0.43,77.5592,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2004-12-01,0.08257690571491816,2.19,4.23,0.00470589103741225,7.245043540543934e-4,95.24086,122.60437,0.04777647933858553,0.00546875275819402,-0.01203898035720385,0.00414513228331436,0.04785712104655371,-0.09999999999999964,0.04,77.4826,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1
