date,wti_return,rac_return,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,r,r_rac
2007-04-01,0.05392322763483515,0.06794826831227674,4.87,4.69,0.0051866474931996365,5.771016226116315e-4,69.88729,116.87072,1.953697378489494e-4,0.041036096269779776,0.14165680006843928,0.004740438871904118,2.633243988929834e-4,-0.09999999999999964,0.24,79.3171,-0.012285225023246582,0.01390879891273622
2007-05-01,-0.012285225023246582,0.01390879891273622,4.73,4.75,0.002996169481998656,6.97345943030255e-4,62.50171,128.35379,0.011845948795945915,0.03298527759837633,-0.02132401523399885,0.0100633097376992,0.011836221514567313,0.09999999999999964,-0.09,79.6259,0.05925558042080681,0.05590885294289194
2007-06-01,0.05925558042080681,0.05590885294289194,4.61,5.1,0.004124476656923726,0.0014785064686770658,74.68187,138.78003,0.005966719655685182,0.03261142921310345,0.016301791040596925,0.0019178636193242227,0.005961186286925546,-0.09999999999999964,0.05,79.4375,0.09192695019516339,0.07930074630385331
2007-07-01,0.09192695019516339,0.07930074630385331,4.82,5,0.0023140721794590036,0.0024484257478187433,73.29654,128.35662,-0.026445250999227454,0.00216009063631617,-0.030774684426559062,0.004565966783967923,-0.026464914677418516,0.1999999999999993,-0.02,79.5925,-0.024339974090183958,-0.03584387179722581
2007-08-01,-0.024339974090183958,-0.03584387179722581,4.2,4.67,0.0017790124666809959,0.005156144527719023,59.32398,141.32585,-0.007317346997432139,-0.050233854297056624,-0.007617557131913699,0.00423099936274518,-0.0073655987720808724,0.10000000000000053,-0.4,79.4648,0.09514387356776588,0.053531728352274044
2007-09-01,0.09514387356776588,0.053531728352274044,3.89,4.52,3.082332001183019e-4,0.0018464289547531513,89.10405,150.51901,-0.01358933782188032,-0.04925964987288722,0.03722967603323113,0.010344333923320903,-0.01363703412317463,-0.10000000000000053,-0.07,79.1076,0.06791437775251907,0.08004319688061345
2007-10-01,0.06791437775251907,0.08004319688061345,3.9,4.53,0.004228600245438585,0.0016926162872521566,100.74438,167.79813,-0.01377655500261632,-0.02985097785926527,-8.728119644434429e-4,0.0024581651784281178,-0.01370527413057987,0.10000000000000053,-0.08,79.2064,0.09160573290531371,0.07654010970415204
2007-11-01,0.09160573290531371,0.07654010970415204,3.27,4.15,0.0030784944010990856,0.005653739753385525,89.45453,187.2047,0.024184975629472305,-0.01252702962520047,-0.052074877669785025,0.00203489029930104,0.024163880163938334,0,-0.27,78.9737,-0.035933404823243364,-0.03039348208330095
2007-12-01,-0.035933404823243364,-0.03039348208330095,3,4.1,0.007828164082873457,0.0023608791853200342,102.44111,187.71459,0.002386635977730478,-0.025428059814688098,0.022236614630502416,0.0034270311801947173,0.00240522115711439,0,-0.08,79.2783,0.010421763038784171,0.01572205576693264
2008-01-01,0.010421763038784171,0.01572205576693264,2.75,3.74,0.0028938234029487475,0.004880543228265983,108.54379,180.83392,0.015180183073018938,-0.04583901021575798,-0.017037561174349847,0.004056909329905878,0.01508796861179329,0.2999999999999998,-0.44,79.2943,0.02328198205189569,0.027663419908497744
2008-02-01,0.02328198205189569,0.027663419908497744,2.12,3.74,0.003441775367173605,0.0032774113976452067,144.98473,148.85973,7.823196174463476e-4,0.0346996579248664,0.02480420381941606,0.004479589396563455,8.769256539107317e-4,0,-0.23,79.0333,0.09669151387492159,0.10011718783586243
2008-03-01,0.09669151387492159,0.10011718783586243,1.26,3.51,0.002414908637454083,0.006240542091388525,108.10469,144.56947,0.006430890330291206,0.020331595357236054,-0.04524557090781478,0.011440788745636254,0.0064607319837231,-0.09999999999999964,-0.79,78.3808,0.06311546614558905,0.07467989231513261
2008-04-01,0.06311546614558905,0.07467989231513261,1.29,3.68,0.00357164189274517,0.002851025411687001,111.71236,160.33343,0.00793271065172263,0.0400993831814862,0,0.008642190752981449,0.00795542805059224,0.1999999999999993,-0.79,78.0497,0.10194449609481593,0.10113019181199778
2008-05-01,0.10194449609481593,0.10113019181199778,1.73,3.88,0.002311706965508087,0.00164582738907736,102.1969,163.00967,-0.0017359441142108523,0.01601552521693428,0.03497680014955051,0.005525773852340876,-0.001771044702016944,-0.09999999999999964,-0.67,77.2828,0.05501152934713982,0.06928233187716115
2008-06-01,0.05501152934713982,0.06928233187716115,1.86,4.1,0.005900052068123607,0.0034847341250414787,94.28405,189.47923,-0.007168489478614148,-0.05162602238729441,-0.03207524370971626,0.0016453231848014838,-0.00716120972306733,0.40000000000000036,-0.84,76.8707,-0.010932721102326681,0.005089291053634426
2008-07-01,-0.010932721102326681,0.005089291053634426,1.63,4.01,0.010423718797166082,0.004467526338213487,94.55676,182.92182,-9.726681050867825e-4,-0.026290128360214382,0.035975833742966756,0.0024177242514511477,-0.0010415434720707495,0.1999999999999993,-0.71,76.3794,-0.13228819919024337,-0.13750173827977985
2008-08-01,-0.13228819919024337,-0.13750173827977985,1.72,3.89,0.0071160653935047335,0.0034285262246580793,109.78898,168.70722,0.007561839232073098,-0.0018273993078636863,0.011315257204003615,0.0060894549970935685,0.007570122061240525,0.20000000000000018,-1.21,75.6664,-0.11475613064877699,-0.14379646480264396
2008-09-01,-0.11475613064877699,-0.14379646480264396,1.13,3.69,-0.0014895846082954023,0.024579600286119396,95.87075,150.20308,-0.03418800541369649,0.024366069456343453,0.01877254971693887,0.0018721554484049108,-0.0341565871466365,0.2999999999999998,-1.25,74.7397,-0.29808479955837397,-0.29923928189799565
2008-10-01,-0.29808479955837397,-0.29923928189799565,0.67,3.81,8.54726299673203e-4,0.05730128302913331,187.7403,110.53878,-0.2302645883764427,0.004946195585711521,-0.20065993311100883,0.008495924353887574,-0.2303570918109541,0,-2.58,72.1116,-0.2723883938722653,-0.34870068402134
2008-11-01,-0.2723883938722653,-0.34870068402134,0.19,3.53,-0.00863561639955801,0.03642018867321705,189.91729,10.349109,0.1758419616069684,0.027988211532093743,0.17733697490917422,0.012936137940194214,0.17587402533555618,0.40000000000000036,-1.13,71.7634,-0.3237129023626548,-0.31352673022429167
2008-12-01,-0.3237129023626548,-0.31352673022429167,0.03,2.42,-0.017864094092818306,0.020618882027193395,148.84257,-66.886553,0.06930237754589363,0.02814084581337184,-0.014178969446122736,0.006511749742101003,0.06939108836554775,0.2999999999999998,-2.34,70.018,0.011718712729677616,0.03199193753273777
2009-01-01,0.011718712729677616,0.03199193753273777,0.13,2.52,-0.008267605054081528,0.012118119013118978,145.9947,-75.631421,0.004911118799347136,0.013203653017280104,-0.054240428367730686,0.021896301652871486,0.004826809974755708,0.5,-2.67,67.6929,-0.06851027063543569,0.04199521612379353
