date,Model,CSPE
2009-11-01,Boosting 5,0.09487438996865667
2009-11-01,Boosting 10,0.1362128477693566
2009-11-01,Boosting 25,0.13212780481256306
2009-11-01,Boosting 50,0.11775038792617204
2009-11-01,Boosting 100,0.11519847612167289
2009-11-01,Boosting 200,0.11570676008918784
2009-11-01,Boosting 300,0.11113097565256726
2009-11-01,Boosting CV,0.12625449105546213
2009-12-01,Screening 1,0.1000611176815911
2009-12-01,Screening 2,0.11236996832840032
2009-12-01,Screening 3,0.12111274455159782
2009-12-01,Screening 4,0.10953510861264515
2009-12-01,Screening 5,0.11114916307219036
2009-12-01,Screening 6,0.13043529423430106
2009-12-01,Screening 7,0.14117580211402034
2009-12-01,Screening 8,0.12366766909486804
2009-12-01,Screening 9,0.11654807598238981
2009-12-01,Screening 10,0.12797919665922924
2009-12-01,Screening 11,0.11078749409261032
2009-12-01,Screening 12,0.08722833310757215
2009-12-01,Screening 13,0.08832923585856668
2009-12-01,Screening 14,0.1080105895723537
2009-12-01,Screening 15,0.13740206676034475
2009-12-01,Screening CV,0.11312826038954168
2009-12-01,Boosting 1,0.018726034418623957
2009-12-01,Boosting 5,0.09566930357399406
2009-12-01,Boosting 10,0.1374363307015286
2009-12-01,Boosting 25,0.13376773452860355
2009-12-01,Boosting 50,0.1194583912417741
2009-12-01,Boosting 100,0.11689415861817186
2009-12-01,Boosting 200,0.11734062224810811
2009-12-01,Boosting 300,0.11268701403120676
2009-12-01,Boosting CV,0.12794885170900308
2010-01-01,Screening 1,0.09909987043341395
2010-01-01,Screening 2,0.11344410257346425
2010-01-01,Screening 3,0.1221959029977342
2010-01-01,Screening 4,0.11062239133039944
2010-01-01,Screening 5,0.11224169820706577
2010-01-01,Screening 6,0.1308467992822437
2010-01-01,Screening 7,0.141519412266542
2010-01-01,Screening 8,0.12348675230494145
2010-01-01,Screening 9,0.11726467944287013
2010-01-01,Screening 10,0.12866961833711385
2010-01-01,Screening 11,0.11168043611638408
2010-01-01,Screening 12,0.08830498353776986
